Date,Open,High,Low,Close,Volume
20150101,56.2376,56.2376,56.2376,56.2376,0
20150113,62.7363,62.7363,62.7363,62.7363,0
20150114,64.8425,64.8425,64.8425,64.8425,0
20150115,66.0983,66.0983,66.0983,66.0983,0
20150116,64.8337,64.8337,64.8337,64.8337,0
20150117,65.1738,65.1738,65.1738,65.1738,0
20150120,64.9732,64.9732,64.9732,64.9732,0
20150121,64.9862,64.9862,64.9862,64.9862,0
20150122,65.5558,65.5558,65.5558,65.5558,0
20150123,65.4,65.4,65.4,65.4,0
20150124,63.393,63.393,63.393,63.393,0
20150127,65.5937,65.5937,65.5937,65.5937,0
20150128,67.8153,67.8153,67.8153,67.8153,0
20150129,67.1506,67.1506,67.1506,67.1506,0
20150130,68.7303,68.7303,68.7303,68.7303,0
20150131,68.9291,68.9291,68.9291,68.9291,0
20150203,69.664,69.664,69.664,69.664,0
20150204,67.7727,67.7727,67.7727,67.7727,0
20150205,65.447,65.447,65.447,65.447,0
20150206,68.6113,68.6113,68.6113,68.6113,0
20150207,66.0432,66.0432,66.0432,66.0432,0
20150210,65.7817,65.7817,65.7817,65.7817,0
20150211,65.4469,65.4469,65.4469,65.4469,0
20150212,66.0585,66.0585,66.0585,66.0585,0
20150213,66.0994,66.0994,66.0994,66.0994,0
20150214,65.0862,65.0862,65.0862,65.0862,0
20150217,62.6632,62.6632,62.6632,62.6632,0
20150218,62.8353,62.8353,62.8353,62.8353,0
20150219,62.4001,62.4001,62.4001,62.4001,0
20150220,62.1307,62.1307,62.1307,62.1307,0
20150221,61.7235,61.7235,61.7235,61.7235,0
20150225,63.5083,63.5083,63.5083,63.5083,0
20150226,62.5906,62.5906,62.5906,62.5906,0
20150227,60.7109,60.7109,60.7109,60.7109,0
20150228,61.2718,61.2718,61.2718,61.2718,0
20150303,62.2248,62.2248,62.2248,62.2248,0
20150304,62.3649,62.3649,62.3649,62.3649,0
20150305,61.8745,61.8745,61.8745,61.8745,0
20150306,61.8457,61.8457,61.8457,61.8457,0
20150307,59.9938,59.9938,59.9938,59.9938,0
20150311,60.6649,60.6649,60.6649,60.6649,0
20150312,62.6797,62.6797,62.6797,62.6797,0
20150313,60.9595,60.9595,60.9595,60.9595,0
20150314,61.3167,61.3167,61.3167,61.3167,0
20150317,62.1497,62.1497,62.1497,62.1497,0
20150318,61.751,61.751,61.751,61.751,0
20150319,61.3483,61.3483,61.3483,61.3483,0
20150320,59.8308,59.8308,59.8308,59.8308,0
20150321,60.0341,60.0341,60.0341,60.0341,0
20150324,59.4452,59.4452,59.4452,59.4452,0
20150325,58.771,58.771,58.771,58.771,0
20150326,57.3879,57.3879,57.3879,57.3879,0
20150327,56.4271,56.4271,56.4271,56.4271,0
20150328,57.7279,57.7279,57.7279,57.7279,0
